No,Title,Pertanyaan,Context
1,Asuransi Jiwa,Apa itu asuransi jiwa,"Jenis asuransi ini memberikan perlindungan finansial terhadap risiko kehidupan dan kematian pemegang polis. Karakteristik utama asuransi jiwa adalah pemberian manfaat berupa uang pertanggungan kepada ahli waris jika pemegang polis berpulang. Apabila pemegang polis masih hidup dalam jangka waktu yang ditentukan, mereka akan mendapatkan manfaat dalam bentuk nilai tunai.Manfaat dan perlindungan yang diberikan asuransi jiwa berupa uang pertanggungan yang bisa digunakan untuk memenuhi kebutuhan sehari-hari.    "
2,Asuransi Kesehatan,Apa itu asuransi kesehatan,"Asuransi kesehatan merupakan jenis asuransi yang memberikan perlindungan finansial ketika mengalami masalah kesehatan. Asuransi ini berguna ketika nasabah menjalani rawat inap, operasi, maupun bentuk perawatan lainnya yang dilakukan di rumah sakit. Asuransi kesehatan sangat penting untuk dimiliki karena bisa melindungi aset atau keuangan nasabah pada saat melakukan pengobatan dengan biaya yang tidak sedikit."
3,Asuransi Pendidikan,Apa itu asuransi pendidikan,Asuransi pendidikan merupakan jenis asuransi yang berguna untuk memberikan proteksi dan perencanaan masa depan pendidikan anak. Orang tua harus memiliki asuransi pendidikan karena biaya pendidikan terus mengalami peningkatan dari waktu ke waktu. Asuransi pendidikan bermanfaat dalam memberikan kepastian terhadap masa depan si buah hati.
4,Asuransi Kendaraan,Apa itu asuransi kendaraan,"Asuransi kendaraan yang berguna sebagai bentuk perlindungan finansial terhadap kendaraan bermotor yang dimiliki. Setiap pemilik kendaraan bermotor, baik individu maupun lembaga, membutuhkan asuransi untuk kendaraan bermotor karena biaya perbaikan akibat kerusakan atau kehilangan kendaraan memakan jumlah yang tidak sedikit."
5,Pengertian KPR,jelasin dong apa yang dimaksud dengan KPR itu?,"Kredit Pemilikan Rumah atau KPR adalah salah satu cara untuk mencicil rumah dalam jangka waktu dan bunga tertentu. Melalui KPR, masyarakat bisa membeli rumah tanpa uang tunai sejumlah harga bangunan tersebut. Sebab, yang perlu disiapkan hanyalah dana untuk down payment atau DP rumah saja. Selanjutnya, sisa biaya yang sudah termasuk bunga akan diangsur setiap bulan selama jangka waktu yang telah ditetapkan."
6,KPR Non Subsidi,info dan jelasin dong terkait KPR non subsidi itu apa,KPR Non Subsidi adalah salah satu jenis kredit rumah yang ditawarkan oleh bank umum tanpa campur tangan pemerintah. Seluruh biaya merupakan hasil dari kebijakan bank. Di mana suku bunga KPR Non Subsidi biasanya mengacu pada BI 
7,KPR Bersubsidi,kalo KPR bersubsidi itu apa sih,"KPR Bersubsidi adalah kreditan rumah yang merupakan bentuk bantuan dari pemerintah. Bantuan tersebut berupa pengurangan uang muka hingga suku bunga.

Kredit pemilikan rumah bersubsidi diberikan kepada pekerja berpenghasilan rendah dan belum memiliki hunian sendiri. Kredit rumah bersubsidi berikut hanya bisa digunakan maksimal untuk rumah tipe 36 dengan harga maksimal 120 juta rupiah.

Suku bunganya yakni sekitar 7,25% flat dan sudah mencakup asuransi jiwa, kebakaran, maupun asuransi kredit."
8,KPR Syariah,ada gak sih kpr yang tidak menganut sistem bunga?,"KPR Syariah adalah jenis kredit pemilikan rumah dengan prinsip-prinsip ajaran agama Islam sehingga tidak menganut sistem bunga, melainkan bagi hasil atau nisbah."
9,KPR Refinancing,"aku baru denger nih ada kpr refinancing, itu apaan sih?",KPR refinancing sedikit berbeda dengan jenis kreditan rumah lainnya. KPR refinancing merupakan sebuah produk pinjaman di mana rumah yang dibeli dijadikan jaminan untuk pinjaman pribadi.
10,Skema Singkat Pengajuan KPR,"gimana sih skema atau alur dari pengajuan KPR itu, aku mau banget punya rumah nih","Skema Singkat Pengajuan KPR
1. Penjual terpercaya menjual sebuah rumah seharga A dengan luas tanah X.
2. Pembeli tertarik dengan bangunan rumah tersebut dan melakukan perundingan mengenai besar DP dan dokumen resmi kepemilikan rumah seperti sertifikat rumah.
3. Pembeli membayar DP kepada penjual rumah.
4. Penjual menyerahkan sertifikat rumah kepada pembeli.
5. Pembeli mengajukan KPR ke bank dan menjadikan sertifikat rumah sebagai jaminannya.
6. Bank melakukan pengecekan riwayat keuangan pembeli sebagai debitur.
7. Bank menyetujui pengajuan KPR.
8. Pembeli mengisi data-data pengajuan KPR berupa jangka waktu pembayaran, DP, harga rumah, luas tanah, dan pemilihan tipe bunga.
9. Bank dan pembeli menyepakati hasil pengajuan KPR.
10. Bank memberikan dana pinjaman kepada pembeli untuk melunasi biaya rumah.
11. Pembeli membayar lunas biaya rumah kepada penjual rumah.
12. Pembeli setiap bulan mulai mencicil dana pinjaman yang diberikan oleh bank sampai jangka waktu yang telah ditetapkan."
